agency_type,FIPS,agency_name_full,population_21,months_reported_in_21,is_nibrs_2022,months_reported_in_22,violent_crime_2020,property_crime_2020,murder_2020,total_crime_2020,longitude,latitude,Info
City,36001,albany police department,17188,0,1,12,869,2671,16,3540,-73.974015,42.588272,
County,36001,albany county sheriff's office,96318,0,1,12,12,111,0,123,-73.974015,42.588272,
City,36001,cohoes police department,16746,0,0,0,11,62,0,73,-73.974015,42.588272,
City,36001,watervliet police department,9863,0,0,0,26,130,0,156,-73.974015,42.588272,
City,36001,green island vlg police dept,2623,0,0,0,0,0,0,0,-73.974015,42.588272,
City,36001,altamont village police department,1664,0,0,0,2,4,0,6,-73.974015,42.588272,
City,36001,menands village police department,3850,0,0,0,3,129,0,132,-73.974015,42.588272,
City,36001,bethlehem town police department,35039,12,1,12,26,380,1,406,-73.974015,42.588272,
City,36001,guilderland town police department,34103,0,0,0,25,677,0,702,-73.974015,42.588272,
City,36001,colonie town police department,79082,12,1,12,83,1858,0,1941,-73.974015,42.588272,
Other State Agency,36001,nys parks and recreation office albany,0,0,0,0,,,,,,,
City,36001,coeymans town police department,7247,0,0,0,8,41,0,49,-73.974015,42.588272,
County,36003,allegany county sheriff's office,27490,0,0,0,0,1,0,1,-78.026115,42.247871,
City,36003,alfred village police department,3970,0,0,0,1,17,0,18,-78.026115,42.247871,
City,36003,andover village police department,970,0,0,0,0,0,0,0,-78.026115,42.247871,
City,36003,angelica vlg police dept,812,0,0,0,0,0,0,0,-78.026115,42.247871,
City,36003,bolivar village police department,968,0,0,0,0,5,0,5,-78.026115,42.247871,
City,36003,cuba town police department,3059,0,0,0,2,31,1,33,-78.026115,42.247871,
City,36003,wellsville village police department,4343,0,0,0,9,30,0,39,-78.026115,42.247871,
City,36003,friendship town police dept,1854,0,0,0,0,4,0,4,-78.026115,42.247871,
City,36003,belmont village police department,895,0,0,0,,,,,,,
City,36003,independence town police dept,1130,0,0,0,0,3,0,3,-78.026115,42.247871,
County,36007,broome county sheriff's office,87473,12,1,12,34,461,1,495,-75.830283,42.161977,
City,36007,binghamton police department,44083,12,1,12,372,1790,1,2162,-75.830283,42.161977,
City,36007,endicott village police department,12443,12,1,12,52,399,0,451,-75.830283,42.161977,
City,36007,johnson city village police department,14055,12,1,12,65,884,1,949,-75.830283,42.161977,
City,36007,port dickinson village police department,1513,0,0,0,0,0,0,0,-75.830283,42.161977,
City,36007,vestal town police department,28639,12,1,12,14,469,0,483,-75.830283,42.161977,
County,36009,cattaraugus county sheriff's office,48039,12,1,12,40,199,0,239,-78.662421,42.239169,
City,36009,olean police department,13334,12,1,12,25,243,0,268,-78.662421,42.239169,
City,36009,allegany village police department,1685,0,0,0,1,7,0,8,-78.662421,42.239169,
City,36009,ellicottville town police department,1563,0,0,0,0,20,0,20,-78.662421,42.239169,
City,36009,franklinville village police department,1618,0,0,0,0,3,0,3,-78.662421,42.239169,
City,36009,cattaraugus vlg police dept,897,0,0,0,0,2,0,2,-78.662421,42.239169,
City,36009,portville village police department,941,0,0,0,0,0,0,0,-78.662421,42.239169,
City,36009,salamanca police department,5360,0,0,0,18,44,1,62,-78.662421,42.239169,
Other State Agency,36009,nys park police allegany region,0,0,0,0,0,0,0,0,-78.662421,42.239169,
County,36011,cayuga county sheriff's office,45642,0,1,11,11,39,1,50,-76.574587,43.008546,
