County,Agency,Year,Months Reported,Index Total,Violent Total,Murder,Rape,Robbery,Aggravated Assault,Property Total,Burglary,Larceny,Motor Vehicle Theft,Region
Albany,Albany City PD,2021,12.0,3837.0,945.0,24.0,60.0,179.0,682.0,2892.0,368.0,2170.0,354.0,Non-New York City
Albany,Albany County Sheriff,2021,12.0,73.0,18.0,0.0,0.0,1.0,17.0,55.0,9.0,41.0,5.0,Non-New York City
Albany,Albany County State Police,2021,12.0,125.0,43.0,0.0,27.0,1.0,15.0,82.0,7.0,66.0,9.0,Non-New York City
Albany,Altamont Vg PD,2021,12.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,Non-New York City
Albany,Bethlehem Town PD,2021,12.0,329.0,22.0,1.0,5.0,4.0,12.0,307.0,27.0,269.0,11.0,Non-New York City
Albany,Coeymans Town PD,2021,12.0,26.0,2.0,0.0,0.0,0.0,2.0,24.0,7.0,16.0,1.0,Non-New York City
Albany,Cohoes City PD,2021,12.0,146.0,18.0,0.0,2.0,3.0,13.0,128.0,21.0,96.0,11.0,Non-New York City
Albany,Colonie Town PD,2021,12.0,2316.0,83.0,2.0,4.0,21.0,56.0,2233.0,166.0,1984.0,83.0,Non-New York City
Albany,County Total,2021,,7880.0,1197.0,27.0,108.0,215.0,847.0,6683.0,664.0,5518.0,501.0,Non-New York City
Albany,Guilderland Town PD,2021,12.0,747.0,29.0,0.0,6.0,3.0,20.0,718.0,36.0,673.0,9.0,Non-New York City
Albany,Menands Vg PD,2021,12.0,107.0,6.0,0.0,0.0,1.0,5.0,101.0,5.0,87.0,9.0,Non-New York City
Albany,SUNY Police - Albany,2021,7.0,12.0,1.0,0.0,0.0,0.0,1.0,11.0,0.0,10.0,1.0,Non-New York City
Albany,Watervliet City PD,2021,12.0,159.0,30.0,0.0,4.0,2.0,24.0,129.0,18.0,103.0,8.0,Non-New York City
Allegany,Alfred Vg PD,2021,12.0,20.0,6.0,0.0,3.0,0.0,3.0,14.0,3.0,11.0,0.0,Non-New York City
Allegany,Allegany County Sheriff,2021,12.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,Non-New York City
Allegany,Allegany County State Police,2021,12.0,225.0,50.0,1.0,32.0,2.0,15.0,175.0,38.0,116.0,21.0,Non-New York City
Allegany,Angelica Vg PD,2021,12.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,Non-New York City
Allegany,Belmont Vg PD,2021,12.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,Non-New York City
Allegany,Bolivar Vg PD,2021,10.0,6.0,2.0,0.0,0.0,0.0,2.0,4.0,1.0,3.0,0.0,Non-New York City
Allegany,County Total,2021,,385.0,91.0,1.0,42.0,2.0,46.0,294.0,56.0,207.0,31.0,Non-New York City
Allegany,Cuba Town PD,2021,12.0,26.0,4.0,0.0,1.0,0.0,3.0,22.0,2.0,20.0,0.0,Non-New York City
Allegany,Friendship Town PD,2021,12.0,5.0,2.0,0.0,1.0,0.0,1.0,3.0,2.0,1.0,0.0,Non-New York City
Allegany,Independence Town PD,2021,12.0,6.0,4.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,0.0,Non-New York City
Allegany,SUNY Police - Alfred,2021,12.0,16.0,1.0,0.0,1.0,0.0,0.0,15.0,1.0,14.0,0.0,Non-New York City
