agency_type,FIPS,agency_name_full,population_21,months_reported_in_21,is_nibrs_2022,months_reported_in_22,violent_crime_2020,property_crime_2020,murder_2020,total_crime_2020,longitude,latitude,Info,County
City,36001,albany police department,17188,0,1,12,869,2671,16,3540,-73.7605,42.6628,,Albany
County,36001,albany county sheriff's office,96318,0,1,12,12,111,0,123,-73.7534014,42.6526907,,Albany
City,36001,cohoes police department,16746,0,0,0,11,62,0,73,-73.708412,42.774475,,Albany
City,36001,watervliet police department,9863,0,0,0,26,130,0,156,-73.7003,42.7255,,Albany
City,36001,green island vlg police dept,2623,0,0,0,0,0,0,0,-73.69221265,42.74201605,,Albany
City,36001,altamont village police department,1664,0,0,0,2,4,0,6,-74.02494083,42.70262865,,Albany
City,36001,menands village police department,3850,0,0,0,3,129,0,132,-73.724768,42.692342,,Albany
City,36001,bethlehem town police department,35039,12,1,12,26,380,1,406,-73.8398061,42.6202585,,Albany
City,36001,guilderland town police department,34103,0,0,0,25,677,0,702,-73.93639,42.71746,,Albany
City,36001,colonie town police department,79082,12,1,12,83,1858,0,1941,-73.79268,42.73672,,Albany
City,36001,coeymans town police department,7247,0,0,0,8,41,0,49,-73.8092,42.4694,,Albany
County,36003,allegany county sheriff's office,27490,0,0,0,0,1,0,1,-78.01703,42.21256,,Allegany
City,36003,alfred village police department,3970,0,0,0,1,17,0,18,-77.79055,42.254238,,Allegany
City,36003,andover village police department,970,0,0,0,0,0,0,0,-77.795354,42.157456,,Allegany
City,36003,angelica vlg police dept,812,0,0,0,0,0,0,0,-78.02065,42.30551,,Allegany
City,36003,bolivar village police department,968,0,0,0,0,5,0,5,-78.167078,42.067669,,Allegany
City,36003,cuba town police department,3059,0,0,0,2,31,1,33,-78.28233,42.21616,,Allegany
City,36003,wellsville village police department,4343,0,0,0,9,30,0,39,-77.943198,42.118725,,Allegany
City,36003,friendship town police dept,1854,0,0,0,0,4,0,4,-78.1370321,42.2060339,,Allegany
City,36003,belmont village police department,895,0,0,0,,,,,-78.027811,42.225261,,Allegany
City,36003,independence town police dept,1130,0,0,0,0,3,0,3,-77.768486,42.037052,,Allegany
County,36007,broome county sheriff's office,87473,12,1,12,34,461,1,495,-75.916673,42.1324788,,Broome
City,36007,binghamton police department,44083,12,1,12,372,1790,1,2162,-75.96617818,42.09640682,,Broome
City,36007,endicott village police department,12443,12,1,12,52,399,0,451,-76.0500723,42.0986588,,Broome
City,36007,johnson city village police department,14055,12,1,12,65,884,1,949,-75.9588092,42.1156308,,Broome
City,36007,port dickinson village police department,1513,0,0,0,0,0,0,0,-75.8963066,42.133409,,Broome
City,36007,vestal town police department,28639,12,1,12,14,469,0,483,-76.053575,42.0855898,,Broome
County,36009,cattaraugus county sheriff's office,48039,12,1,12,40,199,0,239,-78.8010079,42.2522344,,Cattaraugus
City,36009,olean police department,13334,12,1,12,25,243,0,268,-78.4287036,42.0777431,,Cattaraugus
City,36009,allegany village police department,1685,0,0,0,1,7,0,8,-78.4941887,42.0900647,,Cattaraugus
City,36009,ellicottville town police department,1563,0,0,0,0,20,0,20,-78.6728071,42.2750639,,Cattaraugus
City,36009,franklinville village police department,1618,0,0,0,0,3,0,3,-78.4580761,42.3370091,,Cattaraugus
City,36009,cattaraugus vlg police dept,897,0,0,0,0,2,0,2,-78.8680903,42.3292287,,Cattaraugus
City,36009,portville village police department,941,0,0,0,0,0,0,0,-78.3408496,42.0386764,,Cattaraugus
City,36009,salamanca police department,5360,0,0,0,18,44,1,62,-78.7082744,42.1575575,,Cattaraugus
Other State Agency,36009,nys park police allegany region,0,0,0,0,0,0,0,0,-74.2179326,43.2994285,,Allegany
County,36011,cayuga county sheriff's office,45642,0,1,11,11,39,1,50,-76.5433502,42.9793052,,Cayuga
City,36011,auburn police department,26012,12,1,11,51,380,0,431,-76.5654,42.9335,,Cayuga
City,36011,weedsport village police department,1695,0,0,0,0,14,0,14,-76.5627197,43.048677,,Cayuga
City,36011,port byron vlg police dept,1182,0,0,0,0,0,0,0,-76.6238343,43.0345099,,Cayuga
