crime,estimate,estimate_unweighted,estimate_upper_bound,estimate_lower_bound,nys_total,unweighted_pct,estimate/total
Index Total,161035.1271929827,57059.0,,,343357.0,0.16617980702301102,0.4690020217819433
Property Total,140832.311403509,49595.0,223183.22730756,58481.3954994575,267128.0,0.18566005809948788,0.5272090960270319
Larceny,114465.51754386,39977.0,180474.092856104,48456.9422316155,218129.0,0.18327228383204433,0.524760657885288
Violent Total,20202.8157894737,7464.0,31513.3665109681,8892.26506797928,76229.0,0.09791549147962061,0.26502795247837047
Burglary,15523.8815789474,5406.0,24573.5982666405,6474.1648912542,27129.0,0.19927015371005197,0.5722246149488518
Rape,1420.53070175439,432.0,1958.66609783632,882.395305672447,6213.0,0.06953162723322066,0.2286384519160454
Murder,,,,,880.0,,
Robbery,,,,,18050.0,,
Aggravated Assault,,,,,51086.0,,
Motor Vehicle Theft,,,,,21870.0,,
