Agency,Index Crime Months,agency_type,population_21,NIBRS Months_21,NIBRS Months_22,agency_name_full,violent_crime_2020,property_crime_2020,murder_2020,total_crime_2020,longitude,latitude,County,Historical mean,Historical count
Albany City PD,12.0,City,17188,0,12,albany police department,869.0,2671.0,16.0,3540.0,-73.974015,42.588272,Albany,12.0,19.0
Albany County Sheriff,12.0,County,96318,0,12,albany county sheriff's office,12.0,111.0,0.0,123.0,-73.974015,42.588272,Albany,12.0,19.0
Cohoes City PD,12.0,City,16746,0,0,cohoes police department,11.0,62.0,0.0,73.0,-73.974015,42.588272,Albany,12.0,19.0
Watervliet City PD,12.0,City,9863,0,0,watervliet police department,26.0,130.0,0.0,156.0,-73.974015,42.588272,Albany,12.0,19.0
Green Island Vg PD,,City,2623,0,0,green island vlg police dept,0.0,0.0,0.0,0.0,-73.974015,42.588272,Albany,11.833333333333334,18.0
Altamont Vg PD,12.0,City,1664,0,0,altamont village police department,2.0,4.0,0.0,6.0,-73.974015,42.588272,Albany,12.0,19.0
Menands Vg PD,12.0,City,3850,0,0,menands village police department,3.0,129.0,0.0,132.0,-73.974015,42.588272,Albany,12.0,19.0
Bethlehem Town PD,12.0,City,35039,12,12,bethlehem town police department,26.0,380.0,1.0,406.0,-73.974015,42.588272,Albany,12.0,19.0
Guilderland Town PD,12.0,City,34103,0,0,guilderland town police department,25.0,677.0,0.0,702.0,-73.974015,42.588272,Albany,12.0,19.0
Colonie Town PD,12.0,City,79082,12,12,colonie town police department,83.0,1858.0,0.0,1941.0,-73.974015,42.588272,Albany,12.0,19.0
nan,,Other State Agency,0,0,0,nys parks and recreation office albany,,,,,,,,,
Coeymans Town PD,12.0,City,7247,0,0,coeymans town police department,8.0,41.0,0.0,49.0,-73.974015,42.588272,Albany,12.0,19.0
Allegany County Sheriff,12.0,County,27490,0,0,allegany county sheriff's office,0.0,1.0,0.0,1.0,-78.026115,42.247871,Allegany,12.0,18.0
Alfred Vg PD,12.0,City,3970,0,0,alfred village police department,1.0,17.0,0.0,18.0,-78.026115,42.247871,Allegany,12.0,19.0
Andover Vg PD,,City,970,0,0,andover village police department,0.0,0.0,0.0,0.0,-78.026115,42.247871,Allegany,9.23076923076923,13.0
Angelica Vg PD,12.0,City,812,0,0,angelica vlg police dept,0.0,0.0,0.0,0.0,-78.026115,42.247871,Allegany,12.0,17.0
Bolivar Vg PD,10.0,City,968,0,0,bolivar village police department,0.0,5.0,0.0,5.0,-78.026115,42.247871,Allegany,11.5625,16.0
Cuba Town PD,12.0,City,3059,0,0,cuba town police department,2.0,31.0,1.0,33.0,-78.026115,42.247871,Allegany,11.947368421052632,19.0
Wellsville Vg PD,12.0,City,4343,0,0,wellsville village police department,9.0,30.0,0.0,39.0,-78.026115,42.247871,Allegany,12.0,19.0
Friendship Town PD,12.0,City,1854,0,0,friendship town police dept,0.0,4.0,0.0,4.0,-78.026115,42.247871,Allegany,12.0,19.0
Belmont Vg PD,12.0,City,895,0,0,belmont village police department,,,,,,,Allegany,12.0,15.0
Independence Town PD,12.0,City,1130,0,0,independence town police dept,0.0,3.0,0.0,3.0,-78.026115,42.247871,Allegany,9.176470588235293,17.0
Broome County Sheriff,12.0,County,87473,12,12,broome county sheriff's office,34.0,461.0,1.0,495.0,-75.830283,42.161977,Broome,12.0,19.0
Binghamton City PD,12.0,City,44083,12,12,binghamton police department,372.0,1790.0,1.0,2162.0,-75.830283,42.161977,Broome,12.0,19.0
Endicottville Vg PD,,City,12443,12,12,endicott village police department,52.0,399.0,0.0,451.0,-75.830283,42.161977,,,
Johnson City Vg PD,12.0,City,14055,12,12,johnson city village police department,65.0,884.0,1.0,949.0,-75.830283,42.161977,Broome,12.0,19.0
Port Dickinson Vg PD,4.0,City,1513,0,0,port dickinson village police department,0.0,0.0,0.0,0.0,-75.830283,42.161977,Broome,11.38888888888889,18.0
Vestal Town PD,12.0,City,28639,12,12,vestal town police department,14.0,469.0,0.0,483.0,-75.830283,42.161977,Broome,12.0,19.0
Cattaraugus County Sheriff,12.0,County,48039,12,12,cattaraugus county sheriff's office,40.0,199.0,0.0,239.0,-78.662421,42.239169,Cattaraugus,12.0,19.0
Olean City PD,12.0,City,13334,12,12,olean police department,25.0,243.0,0.0,268.0,-78.662421,42.239169,Cattaraugus,12.0,19.0
Allegany Vg PD,12.0,City,1685,0,0,allegany village police department,1.0,7.0,0.0,8.0,-78.662421,42.239169,Cattaraugus,11.894736842105264,19.0
Ellicottville Town PD,12.0,City,1563,0,0,ellicottville town police department,0.0,20.0,0.0,20.0,-78.662421,42.239169,Cattaraugus,12.0,19.0
Franklinville Vg PD,12.0,City,1618,0,0,franklinville village police department,0.0,3.0,0.0,3.0,-78.662421,42.239169,Cattaraugus,10.631578947368421,19.0
Cattaraugus Vg PD,,City,897,0,0,cattaraugus vlg police dept,0.0,2.0,0.0,2.0,-78.662421,42.239169,Cattaraugus,12.0,17.0
Portville Vg PD,12.0,City,941,0,0,portville village police department,0.0,0.0,0.0,0.0,-78.662421,42.239169,Cattaraugus,11.461538461538462,13.0
Salamanca City PD,12.0,City,5360,0,0,salamanca police department,18.0,44.0,1.0,62.0,-78.662421,42.239169,Cattaraugus,12.0,19.0
nan,,Other State Agency,0,0,0,nys park police allegany region,0.0,0.0,0.0,0.0,-78.662421,42.239169,,,
Cayuga County Sheriff,12.0,County,45642,0,11,cayuga county sheriff's office,11.0,39.0,1.0,50.0,-76.574587,43.008546,Cayuga,12.0,19.0
Auburn City PD,12.0,City,26012,12,11,auburn police department,51.0,380.0,0.0,431.0,-76.574587,43.008546,Cayuga,12.0,19.0
Weedsport Vg PD,12.0,City,1695,0,0,weedsport village police department,0.0,14.0,0.0,14.0,-76.574587,43.008546,Cayuga,12.0,19.0
Port Byron Vg PD,12.0,City,1182,0,0,port byron vlg police dept,0.0,0.0,0.0,0.0,-76.574587,43.008546,Cayuga,11.75,12.0
Moravia Vg PD,12.0,City,1201,0,0,moravia village police department,0.0,9.0,0.0,9.0,-76.574587,43.008546,Cayuga,12.0,19.0
Chautauqua County Sheriff,12.0,County,56186,12,12,chautauqua county sheriff's office,37.0,318.0,0.0,355.0,-79.407595,42.304216,Chautauqua,12.0,19.0
Dunkirk City PD,12.0,City,11673,12,12,dunkirk police department,27.0,249.0,0.0,276.0,-79.407595,42.304216,Chautauqua,12.0,19.0
Jamestown City PD,12.0,City,28842,12,12,jamestown police department,187.0,692.0,1.0,879.0,-79.407595,42.304216,Chautauqua,12.0,19.0
Lakewood-Busti PD,12.0,City,7125,12,12,lakewood-busti police department,5.0,344.0,0.0,349.0,-79.407595,42.304216,Chautauqua,12.0,19.0
Fredonia Vg PD,12.0,City,10205,11,10,fredonia village police department,11.0,299.0,0.0,310.0,-79.407595,42.304216,Chautauqua,12.0,19.0
Westfield Vg PD,12.0,City,2941,11,12,westfield village police department,3.0,10.0,0.0,13.0,-79.407595,42.304216,Chautauqua,12.0,19.0
Carroll Town PD,12.0,City,3309,11,11,carroll town police dept,0.0,25.0,0.0,25.0,-79.407595,42.304216,Chautauqua,12.0,17.0
Ellicott Town PD,12.0,City,4981,11,7,ellicott town police department,11.0,234.0,0.0,245.0,-79.407595,42.304216,Chautauqua,12.0,19.0
Chemung County Sheriff,12.0,County,39899,0,0,chemung county sheriff's office,9.0,172.0,0.0,181.0,-76.747179,42.15528,Chemung,12.0,19.0
Elmira City PD,12.0,City,26820,0,0,elmira police department,59.0,818.0,2.0,877.0,-76.747179,42.15528,Chemung,12.0,19.0
Elmira Heights Vg PD,12.0,City,3774,0,0,elmira heights village police department,2.0,84.0,0.0,86.0,-76.747179,42.15528,Chemung,12.0,19.0
Horseheads Vg PD,12.0,City,6325,0,0,horseheads village police department,14.0,97.0,0.0,111.0,-76.747179,42.15528,Chemung,11.789473684210526,19.0
Elmira Town PD,12.0,City,5529,0,0,elmira town police department,0.0,0.0,0.0,0.0,-76.747179,42.15528,Chemung,12.0,16.0
