Agency,Index Crime Months,agency_type,population_21,NIBRS Months_21,NIBRS Months_22,agency_name_full,violent_crime_2020,property_crime_2020,murder_2020,total_crime_2020,longitude,latitude,County,Historical mean,Historical count
Albany City PD,12,City,17188,0,12,albany police department,869,2671,16,3540,-73.7605,42.6628,Albany,12,19
Albany County Sheriff,12,County,96318,0,12,albany county sheriff's office,12,111,0,123,-73.7534014,42.6526907,Albany,12,19
Cohoes City PD,12,City,16746,0,0,cohoes police department,11,62,0,73,-73.708412,42.774475,Albany,12,19
Watervliet City PD,12,City,9863,0,0,watervliet police department,26,130,0,156,-73.7003,42.7255,Albany,12,19
Green Island Vg PD,,City,2623,0,0,green island vlg police dept,0,0,0,0,-73.69221265,42.74201605,Albany,11.83333333,18
Altamont Vg PD,12,City,1664,0,0,altamont village police department,2,4,0,6,-74.02494083,42.70262865,Albany,12,19
Menands Vg PD,12,City,3850,0,0,menands village police department,3,129,0,132,-73.724768,42.692342,Albany,12,19
Bethlehem Town PD,12,City,35039,12,12,bethlehem town police department,26,380,1,406,-73.8398061,42.6202585,Albany,12,19
Guilderland Town PD,12,City,34103,0,0,guilderland town police department,25,677,0,702,-73.93639,42.71746,Albany,12,19
Colonie Town PD,12,City,79082,12,12,colonie town police department,83,1858,0,1941,-73.79268,42.73672,Albany,12,19
nan,,Other State Agency,0,0,0,nys parks and recreation office albany,,,,,-73.748378,42.652433,Albany,,
Coeymans Town PD,12,City,7247,0,0,coeymans town police department,8,41,0,49,-73.8092,42.4694,Albany,12,19
Allegany County Sheriff,12,County,27490,0,0,allegany county sheriff's office,0,1,0,1,-78.01703,42.21256,Allegany,12,18
Alfred Vg PD,12,City,3970,0,0,alfred village police department,1,17,0,18,-77.79055,42.254238,Allegany,12,19
Andover Vg PD,,City,970,0,0,andover village police department,0,0,0,0,-77.795354,42.157456,Allegany,9.230769231,13
Angelica Vg PD,12,City,812,0,0,angelica vlg police dept,0,0,0,0,-78.02065,42.30551,Allegany,12,17
Bolivar Vg PD,10,City,968,0,0,bolivar village police department,0,5,0,5,-78.167078,42.067669,Allegany,11.5625,16
Cuba Town PD,12,City,3059,0,0,cuba town police department,2,31,1,33,-78.28233,42.21616,Allegany,11.94736842,19
Wellsville Vg PD,12,City,4343,0,0,wellsville village police department,9,30,0,39,-77.943198,42.118725,Allegany,12,19
Friendship Town PD,12,City,1854,0,0,friendship town police dept,0,4,0,4,-78.1370321,42.2060339,Allegany,12,19
Belmont Vg PD,12,City,895,0,0,belmont village police department,,,,,-78.027811,42.225261,Allegany,12,15
Independence Town PD,12,City,1130,0,0,independence town police dept,0,3,0,3,-77.768486,42.037052,Allegany,9.176470588,17
Broome County Sheriff,12,County,87473,12,12,broome county sheriff's office,34,461,1,495,-75.916673,42.1324788,Broome,12,19
Binghamton City PD,12,City,44083,12,12,binghamton police department,372,1790,1,2162,-75.96617818,42.09640682,Broome,12,19
Endicottville Vg PD,,City,12443,12,12,endicott village police department,52,399,0,451,-76.0500723,42.0986588,Broome,,
Johnson City Vg PD,12,City,14055,12,12,johnson city village police department,65,884,1,949,-75.9588092,42.1156308,Broome,12,19
Port Dickinson Vg PD,4,City,1513,0,0,port dickinson village police department,0,0,0,0,-75.8963066,42.133409,Broome,11.38888889,18
Vestal Town PD,12,City,28639,12,12,vestal town police department,14,469,0,483,-76.053575,42.0855898,Broome,12,19
Cattaraugus County Sheriff,12,County,48039,12,12,cattaraugus county sheriff's office,40,199,0,239,-78.8010079,42.2522344,Cattaraugus,12,19
Olean City PD,12,City,13334,12,12,olean police department,25,243,0,268,-78.4287036,42.0777431,Cattaraugus,12,19
Allegany Vg PD,12,City,1685,0,0,allegany village police department,1,7,0,8,-78.4941887,42.0900647,Cattaraugus,11.89473684,19
